date,lat,lon,sog,cog,class,H3
2021-07-27 08:15:51,33.470768,126.328606,3.5,254.0,6.0,8a30d1cb1a37fff
2021-07-27 08:30:23,33.471481,126.324036,0.0,175.0,6.0,8a30d1cb1847fff
2021-07-27 08:41:22,33.471481,126.324036,0.0,156.0,6.0,8a30d1cb1847fff
2021-07-27 14:16:14,33.471519,126.324059,0.0,348.0,6.0,8a30d1cb1847fff
2021-07-27 14:49:14,33.471554,126.324043,0.0,21.0,6.0,8a30d1cb1847fff
2021-07-27 16:52:14,33.471508,126.324043,0.0,187.0,6.0,8a30d1cb1847fff
2021-07-27 20:16:14,33.471447,126.324036,0.0,195.0,6.0,8a30d1cb1847fff
2021-07-27 20:37:14,33.471481,126.324051,0.0,58.0,6.0,8a30d1cb1847fff
2021-07-27 21:25:14,33.471527,126.324036,0.1,160.0,6.0,8a30d1cb1847fff
2021-07-28 00:10:15,33.471508,126.324074,0.0,330.0,6.0,8a30d1cb1847fff
2021-07-28 00:28:14,33.471481,126.32402,0.0,184.0,6.0,8a30d1cb1847fff
2021-07-28 01:52:21,33.471523,126.32402,0.0,4.0,6.0,8a30d1cb1847fff
2021-07-28 02:31:20,33.471535,126.324081,0.0,214.0,6.0,8a30d1cb1847fff
2021-07-28 04:04:20,33.471497,126.324043,0.0,347.0,6.0,8a30d1cb1847fff
2021-07-28 04:19:20,33.471523,126.324036,0.0,311.0,6.0,8a30d1cb1847fff
2021-07-28 07:51:01,33.471546,126.324081,0.1,172.0,6.0,8a30d1cb1847fff
2021-07-28 08:04:10,33.478207,126.333221,6.3,357.9,6.0,8a30d1ca2707fff
2021-07-28 08:05:30,33.480621,126.333244,6.2,6.1,6.0,8a30d1ca20f7fff
2021-07-28 08:06:32,33.482365,126.333549,6.2,8.6,6.0,8a30d1ca200ffff
2021-07-28 08:08:12,33.485252,126.334053,6.1,9.8,6.0,8a30d1ca214ffff
2021-07-28 08:11:50,33.491234,126.336128,6.2,9.6,6.0,8a30d1ca2b2ffff
2021-07-28 08:19:10,33.504837,126.338974,7.0,8.7,6.0,8a30d1ca08c7fff
2021-07-28 08:23:20,33.51218,126.342056,6.6,26.8,6.0,8a30d1ca5407fff
2021-07-28 08:30:09,33.523407,126.349243,6.5,33.7,6.0,8a30d1ca5bb7fff
2021-07-28 08:33:52,33.528969,126.353966,6.6,37.1,6.0,8a30d1c164effff
2021-07-28 08:35:30,33.53141,126.356163,6.7,36.7,6.0,8a30d1c16737fff
2021-07-28 08:36:32,33.532959,126.357491,6.7,35.2,6.0,8a30d1c160d7fff
2021-07-28 08:41:10,33.54015,126.363663,6.8,36.2,6.0,8a30d1c16ae7fff
2021-07-28 08:45:49,33.547436,126.369728,6.8,34.4,6.0,8a30d1c1460ffff
2021-07-28 08:52:31,33.553886,126.382812,7.4,63.9,6.0,8a30d1c15427fff
2021-07-28 09:04:11,33.565098,126.412056,8.6,66.6,6.0,8a30d1c02027fff
2021-07-28 09:08:30,33.569675,126.423309,8.5,56.7,6.0,8a30d1c03da7fff
2021-07-28 09:10:59,33.572758,126.429306,8.6,58.9,6.0,8a30d1c03d6ffff
2021-07-28 09:19:40,33.583359,126.450417,8.5,60.0,6.0,8a30d1c0174ffff
2021-07-28 09:24:11,33.588608,126.46125,8.4,60.0,6.0,8a30d1c0c52ffff
2021-07-28 09:29:42,33.594986,126.474663,8.3,62.0,6.0,8a30d1c0ca8ffff
2021-07-28 09:49:50,33.619595,126.523376,8.7,56.8,6.0,8a30d1c70037fff
2021-07-28 10:04:11,33.637253,126.558929,8.5,58.9,6.0,8a30d1c62627fff
2021-07-28 10:08:11,33.642059,126.568649,8.4,60.7,6.0,8a30d1c62257fff
2021-07-28 10:11:11,33.645653,126.575996,8.5,60.0,6.0,8a30d1c63567fff
2021-07-28 10:29:31,33.654804,126.6241,8.0,85.2,6.0,8a30d1c68547fff
2021-07-28 10:40:02,33.656288,126.652298,8.1,87.0,6.0,8a30d1c69787fff
2021-07-28 10:43:01,33.656666,126.660324,8.0,88.0,6.0,8a30d11369b7fff
2021-07-28 10:54:41,33.657322,126.691856,8.0,85.0,6.0,8a30d113010ffff
2021-07-28 10:56:42,33.657345,126.697166,7.9,90.0,6.0,8a30d113006ffff
2021-07-28 11:02:42,33.657955,126.712791,7.7,88.0,6.0,8a30d113154ffff
2021-07-28 11:08:11,33.658573,126.726898,7.7,85.0,6.0,8a30d11312d7fff
2021-07-28 11:16:01,33.659714,126.747055,7.7,83.0,6.0,8a30d110465ffff
2021-07-28 11:21:11,33.660275,126.760437,7.7,85.0,6.0,8a30d1100b1ffff
2021-07-28 11:33:05,33.661865,126.790817,7.7,90.0,6.0,8a30d110136ffff
2021-07-28 11:38:42,33.663136,126.805092,7.6,83.0,6.0,8a30d110c01ffff
2021-07-28 11:41:11,33.663673,126.811417,7.6,80.0,6.0,8a30d110c237fff
2021-07-28 11:45:30,33.664776,126.822357,7.6,82.0,6.0,8a30d110d557fff
2021-07-28 11:55:52,33.667152,126.848129,7.2,86.0,6.0,8a30d11724e7fff
2021-07-28 11:56:12,33.667198,126.848892,7.2,86.0,6.0,8a30d11724effff
2021-07-28 12:06:52,33.668633,126.875397,7.5,87.0,6.0,8a30d1154b5ffff
2021-07-28 12:17:51,33.669666,126.903137,7.5,88.0,6.0,8a30d115536ffff
2021-07-28 12:23:41,33.670059,126.918076,7.7,88.0,6.0,8a30d11420c7fff
2021-07-28 12:30:11,33.670284,126.935005,8.0,90.0,6.0,8a30d114341ffff
2021-07-28 12:36:11,33.670368,126.95118,8.1,90.0,6.0,8a30d115d837fff
2021-07-28 12:38:20,33.670372,126.957062,8.1,91.0,6.0,8a30d115dba7fff
2021-07-28 12:43:11,33.670212,126.970253,8.3,92.0,6.0,8a30d114ac27fff
2021-07-28 12:46:42,33.670101,126.979958,8.3,91.0,6.0,8a30d114a02ffff
2021-07-28 12:47:22,33.670078,126.981865,8.3,91.0,6.0,8a30d114a077fff
2021-07-28 12:52:52,33.670071,126.997246,8.3,89.0,6.0,8a30d114b50ffff
2021-07-28 12:53:12,33.67012,126.998238,8.5,88.0,6.0,8a30d114b557fff
2021-07-28 12:58:52,33.670399,127.01413,8.2,89.0,6.0,8a30d106592ffff
2021-07-28 13:04:41,33.670906,127.030289,8.1,89.0,6.0,8a30d1a96687fff
2021-07-28 13:15:43,33.671413,127.060562,8.1,88.0,6.0,8a30d1a93ce7fff
2021-07-28 13:20:27,33.671449499999994,127.073616,8.2,87.5,6.0,8a30d1a933affff
2021-07-28 13:24:02,33.671494,127.08345,8.2,89.0,6.0,8a30d1a9e5affff
2021-07-28 13:28:33,33.67144,127.095863,8.2,91.0,6.0,8a30d1a9e62ffff
2021-07-28 13:42:13,33.670982,127.133797,8.5,89.0,6.0,8a30d1a9b067fff
2021-07-28 13:48:22,33.670517,127.15123,8.4,92.0,6.0,8a30d132655ffff
2021-07-28 13:56:40,33.670399,127.174576,8.5,78.0,6.0,8a30d1322b27fff
2021-07-28 13:57:31,33.670811,127.17691,8.5,79.0,6.0,8a30d13204dffff
2021-07-28 14:01:52,33.67284,127.18911,8.8,77.0,6.0,8a30d13239affff
2021-07-28 14:04:21,33.674061,127.196167,8.8,77.0,6.0,8a30d132384ffff
2021-07-28 14:15:53,33.679558,127.229019,8.8,78.0,6.0,8a30d132ea6ffff
2021-07-28 14:20:41,33.681797,127.242828,8.7,79.0,6.0,8a30d13288effff
2021-07-28 14:24:31,33.68362,127.253799,8.8,78.0,6.0,8a30d1328a4ffff
2021-07-28 14:42:41,33.692417,127.307068,9.2,77.0,6.0,8a30d1375c07fff
2021-07-28 14:52:19,33.697163,127.335869,9.2,80.0,6.0,8a30d13621a7fff
2021-07-28 14:54:41,33.698353,127.342873,9.2,80.0,6.0,8a30d1362067fff
2021-07-28 15:02:12,33.702065,127.365372,9.2,77.0,6.0,8a30d136300ffff
2021-07-28 15:20:29,33.711342,127.420555,8.7,79.3,6.0,8a30d1368217fff
2021-07-28 15:28:21,33.714802,127.441879,8.0,80.0,6.0,8a30d136939ffff
2021-07-28 15:35:42,33.718109,127.461464,8.2,79.0,6.0,8a30dccb4707fff
2021-07-28 15:37:32,33.718819,127.466347,8.2,78.0,6.0,8a30dccb474ffff
2021-07-28 15:40:02,33.719837,127.473076,8.2,80.0,6.0,8a30dccb42cffff
2021-07-28 15:43:22,33.721172,127.482124,8.3,80.0,6.0,8a30dccb545ffff
2021-07-28 15:55:10,33.725643,127.514542,8.4,80.0,6.0,8a30dcca2657fff
2021-07-28 16:23:20,33.747086,127.587921,8.4,66.7,6.0,8a30dcca83affff
2021-07-28 16:25:30,33.748974,127.59362,8.5,68.6,6.0,8a30dcca9c97fff
2021-07-28 16:31:20,33.754066,127.608879,8.4,67.5,6.0,8a30dcca9a97fff
2021-07-28 16:36:30,33.758839,127.622314,8.6,66.2,6.0,8a30dccf4c67fff
2021-07-28 16:40:20,33.762436,127.632286,8.4,65.0,6.0,8a30dccf4baffff
2021-07-28 16:46:50,33.768616,127.649124,8.6,67.0,6.0,8a30dccf5827fff
2021-07-28 16:50:20,33.77198,127.658211,8.3,66.4,6.0,8a30dcce64c7fff
2021-07-28 16:55:10,33.776661,127.670624,8.3,65.2,6.0,8a30dcce628ffff
2021-07-28 17:02:58,33.78426,127.690178,8.2,65.4,6.0,8a30dcce005ffff
2021-07-28 17:05:38,33.786819,127.696892,8.3,65.7,6.0,8a30dcce034ffff
2021-07-28 17:14:39,33.795345,127.71949,8.3,63.9,6.0,8a30dcce1a5ffff
2021-07-28 17:15:58,33.796593,127.722771,8.3,66.8,6.0,8a30dccecd07fff
2021-07-28 17:20:11,33.801018,127.732948,8.0,66.7,6.0,8a30dccec877fff
2021-07-28 17:26:09,33.80677,127.747849,8.2,64.9,6.0,8a30dcc53677fff
2021-07-28 17:46:19,33.825924,127.799019,8.2,67.6,6.0,8a30dcc58ac7fff
2021-07-28 17:50:48,33.829605,127.810432,8.2,68.8,6.0,8a30dcc5989ffff
2021-07-28 17:56:39,33.834221,127.82531,8.2,69.7,6.0,8a30dcc59a6ffff
2021-07-28 18:02:30,33.837734,127.840294,7.8,82.5,6.0,8a30dc1a4ba7fff
2021-07-28 18:08:22,33.840332,127.855347,7.9,78.0,6.0,8a30dc1a5d6ffff
2021-07-28 18:09:01,33.840652,127.857079,8.1,78.0,6.0,8a30dc1a58b7fff
2021-07-28 18:15:00,33.843468,127.872566,7.9,77.0,6.0,8a30dc1a5a47fff
2021-07-28 18:22:22,33.847038,127.891579,8.0,79.0,6.0,8a30dc112a37fff
2021-07-28 18:25:31,33.848499,127.899773,7.9,78.0,6.0,8a30dc113d07fff
2021-07-28 18:29:12,33.850193,127.909302,7.9,77.0,6.0,8a30dc1138d7fff
2021-07-28 18:32:22,33.851673,127.917389,7.8,80.0,6.0,8a30dc113a1ffff
2021-07-28 18:42:32,33.856213,127.943336,7.6,79.0,6.0,8a30dc11eae7fff
2021-07-28 18:44:20,33.856998,127.94783,7.5,79.0,6.0,8a30dc118daffff
2021-07-28 18:48:52,33.859058,127.959007,7.5,80.0,6.0,8a30dc11812ffff
2021-07-28 18:56:31,33.862679,127.977898,7.6,78.0,6.0,8a30dc119c47fff
2021-07-28 19:01:21,33.864986,127.989761,7.4,76.0,6.0,8a30dc119aaffff
2021-07-28 19:09:02,33.867535,128.008026,7.2,81.0,6.0,8a30dc024027fff
2021-07-28 19:10:52,33.868107,128.012497,7.2,82.0,6.0,8a30dc02406ffff
2021-07-28 19:16:21,33.869942,128.026016,7.4,80.0,6.0,8a30dc025cc7fff
2021-07-28 19:22:43,33.872047,128.041473,7.3,80.0,6.0,8a30dc025227fff
2021-07-28 19:28:52,33.874031,128.056488,7.2,82.0,6.0,8a30dc1520affff
2021-07-28 19:33:42,33.875538,128.068176,7.3,82.0,6.0,8a30dc152257fff
2021-07-28 19:34:43,33.875851,128.070648,7.2,81.0,6.0,8a30dc15224ffff
2021-07-28 20:07:00,33.886349,128.148697,7.3,76.8,6.0,8a30dc15bb27fff
2021-07-28 20:18:49,33.894543,128.176178,7.4,71.3,6.0,8a30dc06445ffff
2021-07-28 20:22:30,33.897243,128.18483,7.4,67.9,6.0,8a30dc0642b7fff
2021-07-28 20:30:49,33.903084,128.204651,7.5,68.9,6.0,8a30dc0650c7fff
2021-07-28 20:37:51,33.906757,128.22171,7.5,75.5,6.0,8a30dca92547fff
2021-07-28 20:42:21,33.909187,128.232819,7.5,75.2,6.0,8a30dca9238ffff
2021-07-28 20:46:00,33.911167,128.241867,7.5,76.3,6.0,8a30dca93507fff
2021-07-28 20:50:01,33.913322,128.25177,7.7,74.4,6.0,8a30dca930f7fff
2021-07-28 20:55:01,33.915997,128.264221,7.5,76.2,6.0,8a30dca9326ffff
2021-07-28 21:00:10,33.918663,128.276993,7.7,75.2,6.0,8a30dca9e0e7fff
2021-07-28 21:05:10,33.921169,128.289368,7.6,75.9,6.0,8a30dca98537fff
2021-07-28 21:10:40,33.923874,128.303101,7.6,77.1,6.0,8a30dca983b7fff
2021-07-28 21:15:09,33.926079,128.314285,7.6,76.1,6.0,8a30dca99527fff
2021-07-28 21:20:06,33.928555,128.326736,7.5,76.8,6.0,8a30dca990effff
2021-07-28 21:25:10,33.931015,128.339249,7.7,76.9,6.0,8a30dc324527fff
2021-07-28 21:30:10,33.933376,128.351898,7.9,76.9,6.0,8a30dc3243b7fff
2021-07-28 21:35:10,33.935825,128.364777,7.8,78.7,6.0,8a30dc32552ffff
2021-07-28 21:40:00,33.938126,128.377441,8.1,78.5,6.0,8a30dc325387fff
2021-07-28 21:45:09,33.941067,128.39064,7.8,65.0,6.0,8a30dcad2577fff
2021-07-28 21:50:30,33.946377,128.403427,8.1,63.6,6.0,8a30dcad232ffff
2021-07-28 21:55:10,33.951008,128.41478,8.1,63.7,6.0,8a30dcad3c6ffff
2021-07-28 22:00:13,33.955872,128.427048,8.2,65.5,6.0,8a30dcad3b5ffff
2021-07-28 22:05:10,33.960789,128.439331,8.2,64.8,6.0,8a30dcade91ffff
2021-07-28 22:11:11,33.966549,128.453842,8.0,62.8,6.0,8a30dcadc707fff
2021-07-28 22:15:10,33.970379,128.463303,7.9,64.2,6.0,8a30dcadc20ffff
2021-07-28 22:20:20,33.976261,128.474716,7.9,53.6,6.0,8a30dcadd1affff
2021-07-28 22:25:00,33.982197,128.484589,7.8,53.3,6.0,8a30dcadda77fff
2021-07-28 22:30:10,33.9888,128.495407,7.8,54.6,6.0,8a30dcaca907fff
2021-07-28 22:35:10,33.995209,128.505829,7.8,54.1,6.0,8a30dcac8547fff
2021-07-28 22:40:10,34.001625,128.516266,7.7,52.9,6.0,8a30dcac8a8ffff
2021-07-28 22:45:19,34.00827,128.527084,7.8,52.8,6.0,8a30dcac9987fff
2021-07-28 22:50:00,34.014282,128.536865,7.7,53.1,6.0,8a30dddb241ffff
2021-07-28 22:55:01,34.020008,128.547745,7.5,61.6,6.0,8a30dddb23a7fff
2021-07-28 23:00:01,34.023983,128.559448,7.7,72.6,6.0,8a30dddb3cc7fff
2021-07-28 23:05:00,34.027351,128.571884,7.8,71.2,6.0,8a30dddb3a9ffff
2021-07-28 23:10:10,34.030758,128.584839,7.7,71.5,6.0,8a30ddd86c57fff
2021-07-28 23:15:11,34.034138,128.597412,7.8,72.4,6.0,8a30ddd86af7fff
2021-07-28 23:20:10,34.037376,128.609909,7.8,73.6,6.0,8a30ddd80897fff
2021-07-28 23:25:10,34.040668,128.622498,7.8,73.0,6.0,8a30ddd80a0ffff
2021-07-28 23:30:09,34.043949,128.635025,7.8,72.1,6.0,8a30ddd818a7fff
2021-07-28 23:35:09,34.047302,128.647552,7.7,70.6,6.0,8a30ddd81b5ffff
2021-07-28 23:36:30,34.048183,128.650894,7.7,72.2,6.0,8a30dddaa69ffff
2021-07-28 23:37:47,34.048878,128.653381,7.7,72.2,6.0,8a30dddaa6d7fff
2021-07-28 23:38:34,34.049541,128.655853,7.7,71.6,6.0,8a30ddd8c997fff
2021-07-28 23:40:00,34.050579,128.659546,7.6,67.1,6.0,8a30ddd8c837fff
2021-07-28 23:45:09,34.057774,128.669388,7.8,36.0,6.0,8a30dddab467fff
2021-07-28 23:50:10,34.066669,128.677277,8.0,37.7,6.0,8a30dddaba17fff
2021-07-28 23:55:00,34.075291,128.684967,8.0,37.1,6.0,8a30ddda9757fff
2021-07-29 00:00:10,34.084534,128.693329,8.0,36.8,6.0,8a30ddc34daffff
2021-07-29 00:05:10,34.09341,128.701431,8.0,35.8,6.0,8a30ddc34977fff
2021-07-29 00:10:00,34.102104,128.708939,7.9,35.0,6.0,8a30ddd1bc5ffff
2021-07-29 00:15:00,34.111034,128.71666,7.8,35.5,6.0,8a30ddd1948ffff
2021-07-29 00:20:10,34.12022,128.724655,7.8,36.3,6.0,8a30ddd19077fff
2021-07-29 00:25:00,34.128887,128.732086,7.9,36.8,6.0,8a30ddd0a6a7fff
2021-07-29 00:30:00,34.137947,128.739914,8.0,37.2,6.0,8a30ddd0a357fff
2021-07-29 00:35:00,34.146969,128.74791,8.0,36.4,6.0,8a30ddd0b987fff
2021-07-29 00:40:01,34.155918,128.756012,8.0,35.2,6.0,8a30ddd0952ffff
2021-07-29 00:45:10,34.165222,128.764282,8.1,37.7,6.0,8a30ddd0985ffff
2021-07-29 00:50:09,34.174278,128.772461,8.1,38.2,6.0,8a30ddd720d7fff
2021-07-29 00:55:00,34.183102,128.78067,8.2,38.0,6.0,8a30ddd72a47fff
2021-07-29 01:00:00,34.192211,128.789276,8.3,39.0,6.0,8a30ddd702affff
2021-07-29 01:05:11,34.201649,128.798401,8.4,39.0,6.0,8a30ddd71897fff
2021-07-29 01:10:00,34.210373,128.806824,8.3,38.5,6.0,8a30ddd62407fff
2021-07-29 01:15:10,34.219639,128.815735,8.2,39.3,6.0,8a30ddd62ab7fff
2021-07-29 01:20:00,34.228264,128.824112,8.3,38.5,6.0,8a30ddd60627fff
2021-07-29 01:25:00,34.237076,128.832901,8.3,40.9,6.0,8a30ddd61d9ffff
2021-07-29 01:30:00,34.24593,128.841614,8.2,39.4,6.0,8a30ddd61827fff
2021-07-29 01:35:10,34.255169,128.850403,8.2,37.9,6.0,8a30dd992187fff
2021-07-29 01:40:00,34.263802,128.85849,8.1,38.6,6.0,8a30dd992b2ffff
2021-07-29 01:45:00,34.272289,128.867294,8.1,44.3,6.0,8a30dd9903b7fff
2021-07-29 01:50:01,34.279789,128.87735,8.1,47.2,6.0,8a30dd991c27fff
2021-07-29 01:55:10,34.287487,128.887817,8.1,47.8,6.0,8a30dd982487fff
2021-07-29 02:00:11,34.295212,128.897873,8.1,47.6,6.0,8a30dd982057fff
2021-07-29 02:05:11,34.303295,128.907501,8.1,32.2,6.0,8a30dd983d27fff
2021-07-29 02:10:01,34.312946,128.913757,8.2,27.3,6.0,8a30dd98022ffff
2021-07-29 02:15:00,34.323311,128.918915,8.1,21.7,6.0,8a30dd9856effff
2021-07-29 02:20:00,34.333961,128.92366,8.2,19.5,6.0,8a30dd9aad9ffff
2021-07-29 02:25:00,34.343987,128.929413,7.9,30.8,6.0,8a30dd9ae29ffff
2021-07-29 02:30:00,34.353554,128.936325,8.1,31.3,6.0,8a30dd9a8c2ffff
2021-07-29 02:35:11,34.363659,128.943771,8.2,32.6,6.0,8a30dd9ad587fff
2021-07-29 02:40:00,34.373451,128.950119,8.4,22.4,6.0,8a30dd9ad88ffff
2021-07-29 02:45:00,34.384289,128.955627,8.4,22.3,6.0,8a30dd91e577fff
2021-07-29 02:50:01,34.395233,128.961136,8.5,23.1,6.0,8a30dd91e867fff
2021-07-29 02:55:00,34.406078,128.966751,8.4,23.1,6.0,8a30dd91c117fff
2021-07-29 03:00:00,34.416939,128.972382,8.5,23.8,6.0,8a30dd903427fff
2021-07-29 03:05:00,34.427921,128.978104,8.6,23.3,6.0,8a30dd903857fff
2021-07-29 03:10:01,34.439137,128.983795,8.7,22.6,6.0,8a30dd901187fff
2021-07-29 03:15:01,34.44989,128.990005,7.8,47.8,6.0,8a30dd92a41ffff
2021-07-29 03:20:01,34.453648,129.002197,7.9,73.8,6.0,8a30dd92a2b7fff
2021-07-29 03:25:00,34.456203,129.015366,8.0,76.3,6.0,8a30dd92b40ffff
2021-07-29 03:30:00,34.458645,129.028641,7.9,79.0,6.0,8a30dd92b287fff
2021-07-29 03:35:00,34.461029,129.041977,8.0,77.5,6.0,8a30dd976447fff
2021-07-29 03:40:00,34.463406,129.055252,8.1,77.9,6.0,8a30dd9762d7fff
2021-07-29 03:45:00,34.465778,129.068573,8.0,76.8,6.0,8a30dd970717fff
2021-07-29 03:50:03,34.468437,129.081985,8.2,63.4,6.0,8a30dd9702cffff
2021-07-29 03:55:10,34.478825,129.085419,8.4,358.6,6.0,8a30dd971d47fff
2021-07-29 04:00:09,34.491001,129.08493,8.8,357.8,6.0,8a30dd97532ffff
2021-07-29 04:05:00,34.502769,129.084473,8.6,357.4,6.0,8a30dd966087fff
2021-07-29 04:10:00,34.514816,129.084015,8.5,357.5,6.0,8a30dd96696ffff
2021-07-29 04:15:10,34.527222,129.083435,8.6,357.7,6.0,8a30c32ca6d7fff
2021-07-29 04:20:10,34.539291,129.082855,8.6,357.1,6.0,8a30c32caa87fff
2021-07-29 04:25:00,34.550972,129.082092,8.6,356.9,6.0,8a30c32c8567fff
2021-07-29 04:30:00,34.562923,129.081238,8.7,356.4,6.0,8a30c32cc2d7fff
2021-07-29 04:36:31,34.578537,129.080093,8.7,356.5,6.0,8a30c32eb707fff
2021-07-29 04:40:10,34.587269,129.079407,8.7,355.8,6.0,8a30c32eb8cffff
2021-07-29 04:45:19,34.599598,129.078445,8.6,356.4,6.0,8a30c32e9caffff
2021-07-29 04:50:11,34.610043,129.075134,7.4,311.9,6.0,8a30c32ed777fff
2021-07-29 04:55:20,34.617123,129.064743,7.8,306.2,6.0,8a30c32edd6ffff
